Sub Department Group,Item (Code),Product Long Name (EN),Sub Department,Budget Class,Collection,Class,Fabric (Code),Group of Level Price (shortname),Is High,IS_X,IS_Y,SubDepartment_Macro,Size_1
FJ,QTG,'3445 1152 496 2970 2891 331 1298 2440 1596 230,5SY0X,Budget Class 16,Collection 12,Class 29,304.0,HETI,1,False,False,,
FJ,R9U,'2841 1152 496 1085 2891 331 1298 1596 1085 2027,5SY0X,Budget Class 16,Collection 15,Class 29,304.0,HETI,1,False,False,,
FJ,E50,'1409,X975C,Budget Class 12,Collection 15,Class 9,201.0,ATI,0,False,False,X975C,
FJ,4LZ,'424 2400 1169 496 1085 2891 2542,5SY0X,Budget Class 16,Collection 19,Class 29,304.0,HETI,1,False,False,,
FJ,R0P,'342 1880 1152 496 1085 2891 2970 2891 2756 559 3480,5SY0X,Budget Class 16,Collection 5,Class 29,205.0,HETI,1,False,False,,
FJ,XTZ,'2703 1152 496 1085 2891 462 1596 1789 2542,5SY0X,Budget Class 16,Collection 22,Class 29,202.0,HETI,1,False,False,,
FJ,MH6,'1688 1178 3445 202 2970 2891 2896 3801 2542,F9TFQ,Budget Class 16,Collection 12,Class 23,201.0,HETI,1,False,False,F9TFQ,
FJ,253,'368 3589 668 2542 2731 3809,HGG8G,Budget Class 16,Collection 10,Class 31,303.0,HETI,1,False,False,HGG8G,
FJ,ADI,'368 496 2970 2891 2542 2190 3809,5SY0X,Budget Class 16,Collection 10,Class 7,201.0,HETI,1,False,False,,
FJ,RRH,'792 3124 2489 668 2542,CPPDR,Budget Class 16,Collection 10,Class 39,303.0,HETI,1,False,False,CPPDR,
FJ,7BC,'368 496 2970 2891 1062 354 2542 2190 3809,5SY0X,Budget Class 16,Collection 10,Class 7,201.0,HETI,1,False,False,,
FJ,HZT,'368 757 2970 2891 2542 635 3809,X975C,Budget Class 16,Collection 10,Class 20,201.0,HETI,1,False,False,X975C,
FJ,N32,'2841 2303 349 2828 496 2970 2891 1837 1991 1062 1311,5SY0X,Budget Class 16,Collection 15,Class 26,201.0,HETI,1,False,False,,
FJ,XXQ,'1409,X975C,Budget Class 12,Collection 15,Class 9,201.0,ATI,0,False,False,X975C,
FJ,4WK,'1847 1021 3589 668 2542,HGG8G,Budget Class 16,Collection 10,Class 27,303.0,HETI,1,False,False,HGG8G,
FJ,16Q,'1172 496 668 2542,5SY0X,Budget Class 16,Collection 10,Class 29,207.0,HETI,1,False,False,,
FJ,LZ9,'1526 496 2970 2891 1062 2891 1850 1062 2542 2027,5SY0X,Budget Class 16,Collection 10,Class 7,201.0,HETI,1,False,False,,
FJ,M40,'1526 3589 2970 2891 1062 2891 1850 1062 2542,HGG8G,Budget Class 16,Collection 10,Class 32,206.0,HETI,1,False,False,HGG8G,
FJ,8MB,'1043 1405 757 2970 2891 2542 1012 3801 1064,X975C,Budget Class 16,Collection 10,Class 20,201.0,HETI,1,False,False,X975C,
FJ,TGJ,'368 496 2970 2891 1991 2542 2190 3809,5SY0X,Budget Class 16,Collection 10,Class 7,201.0,HETI,1,False,False,,
FJ,5M8,'368 1077 2970 2891 2542 2190 3809,N15MO,Budget Class 16,Collection 10,Class 19,201.0,HETI,1,False,False,N15MO,
FJ,MNR,'368 3589 2970 2891 2542 2190 3809,HGG8G,Budget Class 16,Collection 10,Class 12,201.0,HETI,1,False,False,HGG8G,
FJ,6B3,'152 1178 3445 2970 2530 2258 2970 2891 2896 2002,OPYY3,Budget Class 18,Collection 12,Class 34,201.0,ITI,1,False,False,OPYY3,
FJ,B4I,'3445 332 3589 1085 2891 2542,HGG8G,Budget Class 16,Collection 12,Class 14,202.0,ITI,1,False,False,HGG8G,
FJ,QQE,'1409,X975C,Budget Class 4,Collection 4,Class 9,202.0,ATI,0,False,False,X975C,
FJ,EGW,'1369 496 2970 2891 2542 2869,5SY0X,Budget Class 16,Collection 10,Class 29,201.0,ITI,1,False,False,,
FJ,V7P,'3445 2864 2390 496 2970 2891 2896 3071 2542,5SY0X,Budget Class 16,Collection 12,Class 4,201.0,ITI,1,False,False,,
FJ,68K,'3445 2518 2970 2258 1062 2891 2896 3801 1062 783,OPYY3,Budget Class 18,Collection 12,Class 34,203.0,HETI,1,False,False,OPYY3,
FJ,56G,'3445 1904 1077 2970 2891 2896 3801 2542,N15MO,Budget Class 16,Collection 12,Class 19,201.0,HETI,1,False,False,N15MO,
FJ,7ML,'152 1178 3445 2970 3589 2970 2891 2896 2002,HGG8G,Budget Class 16,Collection 12,Class 27,201.0,HETI,1,False,False,HGG8G,
FJ,0SI,'2796 496 2970 2891 2542 2869,5SY0X,Budget Class 16,Collection 12,Class 7,201.0,ITI,1,False,False,,
FJ,UUM,'1043 3131 496 1730 2970 2891 1062 354 1565 1064,5SY0X,Budget Class 12,Collection 10,Class 7,201.0,MTI,0,False,False,,
FJ,2OB,'3273 1077 2970 2891 2542 462 2058,N15MO,Budget Class 16,Collection 10,Class 24,201.0,HETI,1,False,False,N15MO,
FJ,SSU,'1409,X975C,Budget Class 15,Collection 4,Class 9,202.0,STI,0,False,False,X975C,
FJ,LII,'152 1178 3445 757 2970 2891 2896 3801 763,X975C,Budget Class 16,Collection 12,Class 16,201.0,ITI,1,False,False,X975C,
FJ,ZPU,'342 1880 3589 1085 2891 2896 3801 1085 3178,HGG8G,Budget Class 16,Collection 5,Class 14,202.0,HETI,1,False,False,HGG8G,
FJ,LPE,'1043 2395 202 2970 2891 2542,F9TFQ,Budget Class 16,Collection 10,Class 23,201.0,HETI,1,False,False,F9TFQ,
FJ,A3R,'1043 2395 1077 2970 2891 2542,N15MO,Budget Class 16,Collection 10,Class 17,201.0,HETI,1,False,False,N15MO,
FJ,NN5,'3445 2264 496 2970 2891 600 3071 2542,5SY0X,Budget Class 16,Collection 12,Class 7,201.0,HETI,1,False,False,,
FJ,4J9,'3438 1178 1526 496 2970 2891 2896 3801 2542,5SY0X,Budget Class 16,Collection 10,Class 7,201.0,ITI,1,False,False,,
